name,speed,shootAccuracy,shootPower,defense,stamina,totalScore
Georginio Wijnaldum,85,76,77,52,86,78.30
Ivan Perisic,84,76,83,26,82,78.30
Aritz Aduriz,74,86,81,47,72,78.25
Felipe Anderson,91,71,82,24,77,78.25
Marco Parolo,76,72,87,71,84,78.25
Bruno Peres,93,53,87,73,93,78.20
Daniel Alves,89,60,87,70,78,78.20
Daniel Wass,78,72,86,65,82,78.15
Jeff Louis,90,64,83,60,81,78.15
Rafael Martins,78,80,84,26,85,78.15
David Alaba,86,63,83,82,88,78.10
Sebastian Giovinco,88,81,75,23,75,78.10
Sebastian Meoli,88,81,75,23,75,78.10
Victor Ibarbo,95,67,81,25,79,78.10
Andre Carrillo,91,74,80,19,72,78.05
Asamoah Gyan,79,85,80,22,75,78.05
Eliseu,85,60,89,73,84,78.05
Gabriel Agbonlahor,87,75,77,48,79,78.05
Wilfried Bony,75,83,85,25,78,78.05
Wissam Ben Yedder,82,83,77,28,80,78.00
Denis Cheryshev,84,74,80,52,79,77.95
Jose Maria Callejon,90,74,78,24,83,77.95
Arkadiusz Milik,75,84,83,29,77,77.90
Felipe Pardo,84,76,83,25,75,77.90
Francisco Alcacer,76,84,83,26,74,77.90
Martin Braithwaite,87,75,79,32,80,77.90
Prejuce Nakoulma,91,72,77,38,80,77.90
Senad Lulic,84,66,84,64,90,77.90
Hyun-Jun Suk,81,77,84,25,80,77.85
Marcel Risse,86,73,78,59,76,77.85
Miguel Layun,85,68,80,72,87,77.85
Nathan Dyer,90,75,75,33,84,77.85
Yannick Ferreira-Carrasco,88,72,84,19,74,77.85
David Suazo,90,76,78,31,61,77.80
Fabrizio Miccoli,83,80,85,16,52,77.80
Ramires,89,67,75,76,94,77.80
Angel Correa,83,79,78,46,69,77.75
Cristian Benitez,90,78,75,15,82,77.75
Daniel Larsson,91,66,83,25,90,77.75
Michel Bastos,83,71,81,69,76,77.75
Eder Citadin Martins,84,80,80,18,72,77.70
Nordin Amrabat,85,76,81,29,73,77.70
Yonathan Del Valle,90,69,84,27,69,77.70
Arouna Kone,83,76,84,22,73,77.65
Leo Bonatini,83,81,80,22,67,77.65
Marco Matias,87,78,77,26,75,77.65
Simone Zaza,79,81,83,26,69,77.65
Dieumerci Mbokani,84,79,80,16,78,77.60
Marcelo,83,66,83,79,81,77.60
Samuel Eto'o,75,84,85,20,68,77.60
Sidney Sam,86,73,85,23,65,77.60
"Afonso Alves,24",82,77,85,21,66,77.55
Cameron Jerome,86,73,81,34,77,77.55
Mauro Icardi,79,88,78,17,64,77.55
Manuel Fernandes,81,71,83,67,73,77.50
Bebe,90,67,85,19,78,77.45
Giacomo Bonaventura,79,74,82,54,85,77.45
Giovanni Sio,86,80,76,17,80,77.45
Mario Mandzukic,77,85,78,28,81,77.45
Vincent Janssen,74,84,83,19,84,77.45
Anderson Talisca,76,77,84,50,76,77.40
Mohamed Salah,91,77,71,37,77,77.40
Saido Berahino,81,82,81,20,64,77.40
Imoh Ezekiel,90,77,76,14,75,77.35
Jeremain Lens,86,76,80,22,73,77.35
Mario Gomez,75,86,82,20,69,77.35
Vincent Aboubakar,87,76,80,12,77,77.35
Bryan Linssen,82,76,80,41,77,77.30
Jefferson Farfan,86,75,81,17,77,77.30
Joel Campbell,87,70,82,38,73,77.25
Jose Salomon Rondon,77,80,85,25,68,77.25
Leroy Fer,76,70,85,66,92,77.20
Nani,82,75,85,15,77,77.20
Daniel Ginczek,77,79,85,29,68,77.15
Jordi Alba,92,73,64,79,90,77.15
Maximillian Beister,85,73,82,39,64,77.15
Lucas Moura,91,69,79,39,69,77.10
Danny Welbeck,85,77,77,23,84,77.05
Duvan Zapata,78,79,85,20,69,77.05
Leighton Baines,75,70,84,81,86,77.05
Yoric Ravet,86,69,82,36,83,77.05
Alexandre Pato,85,81,78,16,60,77.00
Felipe Caicedo,76,79,84,42,64,77.00
Adrien Regattin,80,74,80,60,75,76.95
Charlie Austin,74,82,83,31,74,76.95
Hugo Rodallega,82,78,79,28,77,76.95
Kyle Walker,92,51,86,77,88,76.95
Lorenzo Melgarejo,81,76,75,68,79,76.95
Lucas Perez,78,82,80,24,75,76.95
Eduardo Salvio,87,74,77,40,70,76.90
Jeremy Menez,85,83,73,24,68,76.90
Sadio Mane,91,76,73,33,65,76.90
Filip Kostic,90,72,76,35,74,76.85
Valere Germain,79,81,79,22,81,76.85
Anthony Ujah,77,77,85,26,76,76.80
Marcel Heller,93,75,72,15,81,76.80
Mbaye Niang,88,70,84,16,68,76.80
Amilton,90,69,80,27,74,76.75
Andreas Weimann,86,74,78,29,78,76.75
Christian Vieri,67,87,86,26,69,76.75
Emmanuel Emenike,86,70,84,19,76,76.75
Joffre David Guerron,87,66,82,51,74,76.75
Lars Stindl,68,81,83,63,80,76.75
Seba,85,70,83,37,70,76.75
Serge Aurier,85,65,78,80,87,76.75
Daniel Didavi,76,80,84,31,63,76.70
Diego Rolan,79,82,78,33,67,76.70
Dries Mertens,86,74,78,30,76,76.70
Fernandinho,77,70,83,72,82,76.70
Ibai Gomez,76,76,83,46,78,76.70
Leroy Sane,90,74,75,26,74,76.70
Mario Balotelli,76,81,86,16,60,76.70
Rodrigo,86,76,77,26,74,76.70
Alhassane Bangoura,91,68,82,20,67,76.65
Breel Embolo,87,76,75,24,81,76.65
Luc Castaignos,82,77,81,18,75,76.65
Abdul Majeed Waris,92,71,74,37,73,76.60
Gergo Lovrencsics,88,63,82,54,80,76.60
Ruben Castro,79,84,77,11,81,76.60
Sami,91,69,79,15,83,76.60
Shkelzen Gashi,77,75,82,53,75,76.60
Stevan Jovetic,77,79,83,26,72,76.60
Adrian Ramos,84,78,77,23,74,76.55
Issiar Dia,90,74,74,40,63,76.55
Luiz Adriano,78,83,78,24,73,76.55
Moussa Maazou,87,72,81,15,76,76.55
Romain Hamouma,82,77,77,42,73,76.55
Divock Origi,85,76,77,30,72,76.50
Paulinho,78,71,78,76,92,76.50
Shane Long,84,75,76,36,84,76.50
Zoran Tosic,84,77,75,33,81,76.50
Jay Rodriguez,84,79,75,16,85,76.45
Kamil Grosicki,88,75,79,15,62,76.45
Anwar El-Ghazi,83,72,84,20,74,76.40
Ivan Rakitic,67,82,84,52,78,76.40
Jo,77,82,80,24,70,76.40
Andros Townsend,89,66,82,36,69,76.35
Lucas Pratto,72,82,82,37,74,76.35
Paolo Hurtado,85,69,79,55,74,76.35
Jhon Cordoba,84,73,80,28,76,76.30
Luis Muriel,90,73,78,18,62,76.30
Markus Henriksen,68,76,85,64,88,76.30
Max-Alain Gradel,88,75,73,38,72,76.30
Quincy Owusu-Abeyie,90,66,83,25,67,76.30
Wahbi Khazri,77,80,81,26,72,76.30
Callum Wilson,90,79,69,20,77,76.25
Jeremy Pied,78,68,83,71,80,76.25
Jurgen Locadia,77,77,83,30,73,76.25
Mauricio Cuero,94,69,75,20,77,76.25
Michail Antonio,86,73,75,44,77,76.25
Damian Suarez,86,59,82,71,91,76.20
Rogelio Funes Mori,79,78,74,55,83,76.20
Yannis Salibur,88,72,76,36,72,76.20
Davy Klaassen,73,78,79,58,85,76.15
Dirk Kuyt,70,77,81,65,90,76.15
Eduardo Vargas,84,76,77,23,78,76.15
Arthur Masuaku,83,69,77,73,75,76.10
Danny Ings,83,79,73,33,79,76.10
Fedor Smolov,85,77,75,26,74,76.10
Julian Draxler,77,77,84,25,69,76.10
Klaas Jan Huntelaar,67,86,86,20,68,76.10
Mirko Vucinic,81,77,80,25,69,76.10
Serge Gakpe,90,68,80,21,73,76.10
Troy Deeney,74,77,86,25,75,76.10
Felipe Gedoz,80,70,84,39,78,76.05
Raheem Sterling,92,73,68,48,75,76.05
Willian,86,75,71,43,86,76.05
Idriss Saadi,82,76,79,16,82,76.00
Jefferson Nascimento,79,61,85,78,92,76.00
Pablo Armero,86,54,87,70,88,76.00
Artjoms Rudnevs,84,71,81,25,78,75.95
Jese Rodriguez,85,78,76,16,69,75.95
Josip Ilicic,74,76,87,28,69,75.95
Leandro Bacuna,77,67,83,72,85,75.95
Nacer Chadli,77,75,81,37,84,75.95
Roberto Firmino,75,82,79,24,79,75.95
Alex Oxlade-Chamberlain,89,68,77,39,75,75.90
Paulinho,83,79,74,25,77,75.90
Pavel Nedved,74,73,84,58,74,75.90
Tamir Cohen,73,74,81,75,75,75.90
Thomas Meunier,81,71,75,66,90,75.90
Wilson Eduardo,82,74,82,22,68,75.90
Andre-Pierre Gignac,70,84,84,22,67,75.85
Clinton Njie,94,69,73,24,77,75.85
Cristian Tello Herrera,91,69,77,19,76,75.85
Fabian Johnson,89,70,69,70,79,75.85
Georges N'Koudou,92,71,72,35,72,75.85
Islam Slimani,76,78,78,34,91,75.85
Khouma Babacar,78,78,82,20,69,75.85
Nikola Kalinic,78,82,76,22,79,75.85
Ricardo Oliveira,70,85,80,37,70,75.85
Bryan Dabo,79,70,78,73,81,75.80
David Villa,72,86,80,22,66,75.80
Izet Hajrovic,78,70,87,41,65,75.80
Jony,86,75,72,37,81,75.80
Matthew Phillips,90,66,80,29,71,75.80
Michael Pereira,92,55,85,39,85,75.80
Rodrigue Casimir Ninga,86,74,76,15,85,75.80
Stefan Kiessling,67,85,82,26,86,75.80
Andy Carroll,72,76,85,42,75,75.75
Frank Acheampong,91,62,74,62,91,75.75
Gylfi Sigurdsson,67,81,82,55,80,75.75
Moses Simon,90,73,73,26,73,75.75
Moussa Dembele,77,66,85,65,82,75.75
Ousmane Dembele,85,77,71,45,72,75.75
Alexander Tettey,76,64,86,71,87,75.70
Clint Dempsey,72,80,82,31,79,75.70
Emmanuel Eboue,81,62,85,72,74,75.70
Fernando Torres,79,77,83,17,63,75.70
Gaston Pereiro,79,75,82,39,59,75.70
Marek Hamsik,77,77,76,56,78,75.70
Raul Marcelo Bobadilla,73,79,84,21,77,75.70
Rodrigo Palacio,79,83,73,31,73,75.70
Bertrand Traore,83,74,78,30,73,75.65
Jeremie Aliadiere,81,81,75,25,66,75.65
Leigh Griffiths,80,77,80,13,78,75.65
Maximilian Arnold,67,77,86,57,76,75.65
Alvaro Negredo,68,82,84,36,72,75.60
Jo Inge Berget,80,70,80,41,91,75.60
Josip Drmic,79,80,77,27,69,75.60
Nihat Kahveci,80,74,83,17,73,75.60
Olcay Sahan,79,74,76,52,86,75.60
Balazs Dzsudzsak,78,72,85,27,74,75.55
Bradley Johnson,68,70,91,56,81,75.55
Carlos Mane,85,73,77,27,74,75.55
David Barral,75,74,85,30,77,75.55
Jose Sosa,78,72,79,55,82,75.55
Kieran Richardson,75,65,87,74,75,75.55
Kingsley Coman,93,70,75,11,72,75.55
Lisandro Lopez,79,78,77,25,82,75.55
Max Kruse,73,80,79,35,83,75.50
Robbie Keane,68,85,82,28,72,75.50
Anthony Modeste,79,79,78,25,68,75.45
"Daniel Cousin,20",79,78,79,22,71,75.45
Diomansy Kamara,82,75,81,18,63,75.45
Haris Seferovic,76,78,81,25,74,75.45
Jimmy Briand,80,75,77,43,74,75.45
Johan Mojica,91,54,81,66,87,75.45
Mateus,88,71,73,34,83,75.45
Mohamed Diame,79,64,85,69,72,75.45
Oscar de Marcos,92,59,74,66,93,75.45
Tongo Hamed Doumbia,76,67,82,74,85,75.45
Vladimir Weiss,88,67,80,30,69,75.45
Admir Mehmedi,79,73,82,29,75,75.40
Baye Oumar Niasse,76,79,80,20,78,75.40
Caiuby,88,71,76,17,81,75.40
Deyverson,82,76,77,21,77,75.40
Gianluca Sansone,82,74,80,22,70,75.40
James Milner,70,68,87,67,91,75.40
Jean-Daniel Akpa-Akpro,78,69,79,72,80,75.40
Jerry Uche Mbakogu,91,77,68,15,77,75.40
Joao Mario,77,72,77,65,87,75.40
Kevin-Prince Boateng,77,69,84,60,68,75.40
Landon Donovan,82,73,76,41,81,75.40
Luis Leal,78,73,86,13,73,75.40
Alberto Moreno,87,65,73,72,85,75.35
Alex Sandro,89,59,75,78,91,75.35
Bafetimbi Gomis,69,80,84,39,70,75.35
Giuseppe Rossi,78,84,76,14,65,75.35
Jefferson Montero,88,70,76,24,79,75.35
Antunes,84,55,86,70,86,75.30
Arnold,91,68,76,19,77,75.30
Dame N'Doye,74,75,83,35,79,75.30
Fabio Quagliarella,69,81,87,15,69,75.30
Haavard Nielsen,80,75,77,41,73,75.30
Raul Garcia,65,78,86,54,78,75.30
Victor Andrade,92,65,77,28,74,75.30
Yannick Bolasie,88,64,81,27,81,75.30
Franck Ribery,85,77,76,13,64,75.25
Jonas Martin,78,73,75,70,79,75.25
Raphael Guerreiro,82,70,74,74,75,75.25
Aaron Ramsey,69,75,81,62,92,75.20
Alexandr Kerzhakov,78,70,83,41,77,75.20
Corentin Tolisso,73,73,79,74,80,75.20
Erik Lamela,77,75,80,37,75,75.20
Hakan Calhanoglu,73,74,87,32,68,75.20
Ignacio Piatti,77,74,80,40,78,75.20
Vieirinha,76,73,78,67,75,75.20
Aras Oezbiliz,77,74,85,22,65,75.15
Bas Dost,65,86,84,29,64,75.15
Demetris Christofi,88,71,74,33,72,75.15
Emmanuel Adebayor,75,78,82,23,70,75.15
Nicolai Joergensen,79,73,79,33,84,75.15
Alessandro Matri,76,82,78,18,68,75.10
Benito Raman,92,73,69,19,79,75.10
David Rodriguez,81,75,80,16,70,75.10
Gervinho,92,72,69,13,91,75.10
Marquinho,68,71,88,61,79,75.10
Mattia Destro,76,83,78,12,68,75.10
Naldo,77,57,92,84,62,75.10
Silvio Romero,81,75,78,28,70,75.10
Thiago Neves,76,73,84,21,83,75.10
Francois Kamano,90,71,74,33,58,75.05
Hector Herrera,78,66,80,66,91,75.05
Luis Advincula,92,58,76,65,80,75.05
Geovanni,78,73,85,19,65,75.00
Jose Izquierdo,93,67,73,18,84,75.00
Miralem Sulejmani,86,72,76,29,67,75.00
Walter,62,84,89,24,66,75.00
Eric Maxim Choupo-Moting,79,77,77,26,75,74.95
Franco Di Santo,78,77,79,22,73,74.95
Geoffrey Mujangi Bia,80,75,82,13,64,74.95
Jonathan Zongo,92,66,76,27,68,74.95
Marco Sau,91,75,68,18,77,74.95
Martin Harnik,79,73,77,39,86,74.95
Odion Ighalo,81,79,73,31,70,74.95
Rick Karsdorp,86,59,79,72,83,74.95
Success Isaac,87,68,80,23,66,74.95
Abou Diaby,77,65,84,69,73,74.90
Andre Ayew,78,73,75,54,88,74.90
Aron Johannsson,78,82,75,18,70,74.90
Carlos Vela,85,78,73,12,70,74.90
Luan,78,70,80,54,76,74.90
Salvador Agra,92,64,76,31,75,74.90
Sergio Ezequiel Araujo,77,82,74,26,74,74.90
Andre Andre,73,75,76,63,90,74.85
Charlison Benschop,74,73,85,28,77,74.85
Gregory Sertic,72,69,84,73,74,74.85
Johnny Russell,84,69,77,35,82,74.85
Jonathan De Guzman,78,68,84,48,69,74.85
Moussa Konate,89,74,72,15,72,74.85
Olivier Giroud,64,84,84,26,79,74.85
Tobias Werner,79,75,76,39,78,74.85
Wilfried Zaha,89,74,69,27,78,74.85
Balde Diao Keita,91,68,75,17,75,74.80
Didier Drogba,66,83,86,22,64,74.80
Nolito,76,82,74,30,74,74.80
Oscar Trejo,77,74,75,59,81,74.80
Raul Meireles,74,66,84,74,78,74.80
Silvestre Varela,73,76,85,30,62,74.80
Somalia,84,68,72,70,82,74.80
Antonio Sanabria,78,80,75,21,76,74.75
Cyril Thereau,78,78,79,16,69,74.75
Filip Djordjevic,74,76,81,35,74,74.75
Fredy Montero,74,78,80,29,74,74.75
Pablo Chavarria,89,74,69,23,80,74.75
Amr Zaki,78,72,82,25,77,74.70
Darius Vassell,83,73,76,28,74,74.70
Garath McCleary,89,64,78,34,74,74.70
Kevin Monnet-Paquet,84,71,74,44,76,74.70
Laurent Depoitre,77,76,79,15,87,74.70
Ricardo Quaresma,83,70,83,10,68,74.70
Vincenzo Iaquinta,78,72,86,32,46,74.70
Abdoul Karim Yoda,88,70,71,42,77,74.65
Claudemir,75,68,81,68,81,74.65
Douglas,86,59,80,66,77,74.65
Henri Saivet,77,74,75,60,77,74.65
Hernan Perez,79,71,84,21,68,74.65
Ibrahima Balde,80,74,79,14,81,74.65
Jires Kembo-Ekoko,83,69,83,20,63,74.65
Johann Berg Gudmundsson,77,68,84,45,74,74.65
Pierre-Michel Lasogga,68,78,87,29,66,74.65
Seamus Coleman,80,65,75,83,90,74.65
Tarik Elyounoussi,82,72,75,43,76,74.65
Aatif Chahechouhe,77,77,78,26,74,74.60
Alexander Frei,69,85,79,23,71,74.60
Axel Witsel,74,71,78,69,85,74.60
Javier Pastore,75,75,78,49,75,74.60
Marco Perez,84,70,80,19,69,74.60
Marcus Berg,73,83,79,12,70,74.60
Matt Ritchie,78,73,75,56,80,74.60
Riyad Mahrez,79,79,74,24,76,74.60
Alex,76,71,84,32,73,74.55
Brown Ideye,79,76,76,26,79,74.55
Craig Bellamy,77,73,81,48,57,74.55
Ivan Cavaleiro,87,68,78,25,68,74.55
Jonathan Rodriguez,78,78,78,20,67,74.55
Kei Ansu Kamara,78,77,75,29,82,74.55
Mehmet Ekici,75,68,85,50,73,74.55
Miguel Rosa,76,71,84,32,73,74.55
Pablo Andres Gonzalez,88,71,75,16,71,74.55
Ryan Babel,83,65,84,32,67,74.55
Salomon Kalou,74,83,76,22,71,74.55
Andrea Belotti,78,79,76,15,77,74.50
Eric Bautheac,81,76,73,35,75,74.50
Marcelo Toscano,75,76,75,63,71,74.50
Marvin Zeegelaar,86,62,75,71,81,74.50
Bartholomew Ogbeche,77,78,78,24,67,74.45
Bernard Parker,79,78,75,23,74,74.45
Jonathan Pereira,87,77,72,18,55,74.45
Leon Goretzka,84,64,76,67,78,74.45
Marcell Jansen,80,61,82,73,78,74.45
Mark Gonzalez,83,70,80,19,72,74.45
Scott Sinclair,87,72,73,19,78,74.45
Zlatko Junuzovic,77,66,78,69,94,74.45
Christian Maggio,79,67,78,65,79,74.40
Davide Zappacosta,85,62,74,75,87,74.40
Dennis Oliech,89,66,76,25,77,74.40
Jonathan Biabiany,96,66,70,20,76,74.40
Pedro Rodriguez,79,80,71,30,78,74.40
Remy Cabella,80,72,76,47,73,74.40
Sergio Garcia,75,80,79,25,59,74.40
Steven Naismith,77,76,74,41,85,74.40
Thiago Ribeiro,79,75,77,32,70,74.40
Wakaso Mubarak,85,55,86,52,80,74.40
Christian Eriksen,74,75,78,38,87,74.35
Eder,77,73,79,34,79,74.35
Gokhan Tore,87,66,79,24,71,74.35
Ikechi Anya,88,59,77,63,80,74.35
Lazaros Christodoulopoulos,76,72,79,50,75,74.35
Vaclav Sverkos,76,76,81,26,63,74.35
Wesley Sneijder,73,72,87,32,63,74.35
Yoan Gouffran,75,76,77,48,71,74.35
Alexander Buettner,83,56,83,72,82,74.30
Ali Adnan,82,54,86,68,86,74.30
Elvis Manu,91,64,77,22,72,74.30
Maximiliano Pereira,76,63,81,78,88,74.30
Ross Barkley,78,70,78,56,74,74.30
Antonio Valencia,83,58,82,65,82,74.25
Charles,68,80,83,34,65,74.25
Emiliano Insua,78,56,87,81,78,74.25
Julian Schieber,73,75,85,22,65,74.25
Rafael Galhardo,77,67,77,76,83,74.25
Roniel,91,66,77,22,59,74.25
Sebastien Haller,78,79,77,17,64,74.25
Sheraldo Becker,92,64,76,27,66,74.25
Yassine Chikhaoui,86,68,78,25,68,74.25
Abdoul Razzagui Camara,84,72,76,20,72,74.20
Antonio Di Natale,74,86,76,18,50,74.20
Daniel Opare,89,60,72,70,88,74.20
Florin Andone,78,72,81,17,81,74.20
Kelechi Iheanacho,85,76,73,15,65,74.20
Leonard Kweuke,75,79,77,25,73,74.20
Thomas Lemar,82,69,74,61,73,74.20
Tjaronn Chery,78,71,82,26,72,74.20
Adem Ljajic,79,77,76,23,68,74.15
Bruno Zuculini,78,69,75,72,79,74.15
Claudio Marchisio,79,65,77,72,85,74.15
Dele Alli,73,75,75,57,88,74.15
Dolly Menga,92,61,77,48,55,74.15
Jens Toornstra,71,71,82,49,90,74.15
Jordan Amavi,79,66,77,74,77,74.15
Mauro Zarate,76,76,80,22,69,74.15
Sandro,76,65,80,76,81,74.15
Siem de Jong,65,78,82,47,86,74.15
Simon Vukcevic,74,73,83,28,75,74.15
Yannick Wildschut,86,58,86,33,70,74.15
Abiola Dauda,78,78,75,34,62,74.10
Alberto Paloschi,76,83,73,12,78,74.10
Andy Delort,76,74,80,20,82,74.10
Georgi Milanov,81,72,72,60,72,74.10
Jordon Ibe,86,65,77,45,69,74.10
Maxime Lestienne,84,72,71,29,91,74.10
Nicolas Gaitan,82,73,75,30,72,74.10
Peter Odemwingie,72,77,81,37,65,74.10
Sofiane Boufal,85,71,72,44,70,74.10
Marko Arnautovic,77,73,76,47,78,74.05
Oscar,77,75,76,37,76,74.05
Ashley Young,82,69,77,43,69,74.00
Dusan Basta,82,58,80,78,82,74.00
Gohi Bi Cyriac,85,78,70,13,69,74.00
Helder Barbosa,82,67,81,33,67,74.00
Jesus Navas,88,66,75,27,79,74.00
Kevin Gameiro,77,82,72,23,71,74.00
Maicon,76,64,83,72,70,74.00
Matias Alustiza,79,78,75,28,60,74.00
Roberto Soldado,68,79,83,33,67,74.00
Stefano Okaka Chuka,78,74,79,15,79,74.00
Hakim Ziyech,72,73,82,40,77,73.95
Marco van Ginkel,76,72,75,55,86,73.95
Mostapha El Kabir,82,70,79,16,77,73.95
Raffael,72,80,77,29,76,73.95
Ryad Boudebouz,76,75,79,27,72,73.95
Jose Luis Morales,85,67,74,44,78,73.90
Joshua King,92,65,74,22,70,73.90
Juan Manuel Iturbe,92,65,76,18,62,73.90
Keisuke Honda,76,66,84,44,78,73.90
Samir Nasri,78,76,75,35,69,73.90
Stefan Aigner,86,73,71,30,68,73.90
Vitolo,81,79,70,25,73,73.90
Yoshinori Muto,79,76,73,32,78,73.90
Adriano,75,59,88,74,71,73.85
Ander Capa,86,56,81,61,78,73.85
Cedric Soares,78,57,84,76,87,73.85
Christophe Mandanne,81,75,73,31,72,73.85
Elton,76,77,75,41,68,73.85
Floyd Ayite,85,75,73,19,60,73.85
Gnaly Maxwell Cornet,86,76,70,13,72,73.85
Jorge Rojas,90,63,78,28,63,73.85
Koke,72,71,81,50,83,73.85
Marco Ruben,75,82,73,31,66,73.85
Sone Aluko,86,68,74,39,70,73.85
Stephan El Shaarawy,86,73,71,25,72,73.85
Yohan Cabaye,68,71,82,71,80,73.85
Adalberto Penaranda,81,78,73,20,64,73.80
Bruno Cesar,66,74,88,47,61,73.80
Franck Tabanou,74,63,83,77,79,73.80
Gerard Deulofeu,92,74,64,20,76,73.80
Patrick Helmes,75,78,80,25,53,73.80
Szymon Pawlowski,85,72,72,15,87,73.80
Timo Werner,90,73,69,17,67,73.80
